Store Name,Link,City,Country
The Summit,https://www.apple.com/retail/thesummit/,Birmingham,us
Bridge Street,https://www.apple.com/retail/bridgestreet/,Huntsville,us
Anchorage 5th Avenue Mall,https://www.apple.com/retail/anchorage5thavenuemall/,Anchorage,us
Chandler Fashion Center,https://www.apple.com/retail/chandlerfashioncenter/,Chandler,us
SanTan Village,https://www.apple.com/retail/santanvillage/,Gilbert,us
Arrowhead,https://www.apple.com/retail/arrowhead/,Glendale,us
Scottsdale Fashion Square,https://www.apple.com/retail/scottsdalefashionsquare/,Scottsdale,us
Scottsdale Quarter,https://www.apple.com/retail/scottsdalequarter/,Scottsdale,us
La Encantada,https://www.apple.com/retail/laencantada/,Tucson,us
The Promenade at Chenal,https://www.apple.com/retail/thepromenadeatchenal/,Little Rock,us
Valley Plaza,https://www.apple.com/retail/valleyplaza/,Bakersfield,us
4th Street,https://www.apple.com/retail/4thstreet/,Berkeley,us
Brea Mall,https://www.apple.com/retail/breamall/,Brea,us
Burlingame,https://www.apple.com/retail/burlingame/,Burlingame,us
Topanga,https://www.apple.com/retail/topanga/,Canoga Park,us
Carlsbad,https://www.apple.com/retail/carlsbad/,Carlsbad,us
Los Cerritos,https://www.apple.com/retail/loscerritos/,Cerritos,us
Otay Ranch,https://www.apple.com/retail/otayranch/,Chula Vista,us
Corte Madera,https://www.apple.com/retail/cortemadera/,Corte Madera,us
South Coast Plaza,https://www.apple.com/retail/southcoastplaza/,Costa Mesa,us
Apple Park Visitor Center,https://www.apple.com/retail/appleparkvisitorcenter/,Cupertino,us
Infinite Loop,https://www.apple.com/retail/infiniteloop/,Cupertino,us
Bay Street,https://www.apple.com/retail/baystreet/,Emeryville,us
North County,https://www.apple.com/retail/northcounty/,Escondido,us
Fashion Fair,https://www.apple.com/retail/fashionfair/,Fresno,us
Glendale Galleria,https://www.apple.com/retail/glendalegalleria/,Glendale,us
The Americana at Brand,https://www.apple.com/retail/theamericanaatbrand/,Glendale,us
Irvine Spectrum Center,https://www.apple.com/retail/irvinespectrumcenter/,Irvine,us
Beverly Center,https://www.apple.com/retail/beverlycenter/,Los Angeles,us
Century City,https://www.apple.com/retail/centurycity/,Los Angeles,us
The Grove,https://www.apple.com/retail/thegrove/,Los Angeles,us
