Region,Store Name,#,Link
ae,Dubai Mall,1,https://www.apple.com/ae/retail/dubaimall/images/hero_large_2x.jpg
ae,Dubai Mall,2,
ae,Dubai Mall,3,
ae,Dubai Mall,4,
ae,Dubai Mall,5,
ae,Dubai Mall,6,
ae,Dubai Mall,7,
ae,Dubai Mall,8,
ae,Mall of the Emirates,1,https://www.apple.com/ae/retail/malloftheemirates/images/hero_large_2x.jpg
ae,Mall of the Emirates,2,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image2_large_2x.jpg
ae,Mall of the Emirates,3,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image3_large_2x.jpg
ae,Mall of the Emirates,4,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image4_large_2x.jpg
ae,Mall of the Emirates,5,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image5_large_2x.jpg
ae,Mall of the Emirates,6,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image6_large_2x.jpg
ae,Mall of the Emirates,7,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image7_large_2x.jpg
ae,Mall of the Emirates,8,https://www.apple.comhttps://images.apple.com/ae/retail/store/images/galleries/malloftheemirates/images/malloftheemirates_gallery_image8_large_2x.jpg
ae,Yas Mall,1,https://www.apple.com/ae/retail/yasmall/images/hero_large_2x.jpg
at,Kärntner Straße,1,https://www.apple.com/at/retail/kaerntnerstrasse/images/hero_large_2x.jpg
au,Bondi,1,https://www.apple.com/au/retail/bondi/images/hero_large_2x.jpg
au,Booragoon,1,https://www.apple.com/au/retail/booragoon/images/hero_large_2x.jpg
au,Brisbane,1,https://www.apple.com/au/retail/brisbane/images/hero_large_2x.jpg
au,Brisbane,2,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_1_large_2x.jpg
au,Brisbane,3,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_2_large_2x.jpg
au,Brisbane,4,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_3_large_2x.jpg
au,Brisbane,5,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_4_large_2x.jpg
au,Brisbane,6,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_5_large_2x.jpg
au,Brisbane,7,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_6_large_2x.jpg
au,Brisbane,8,https://www.apple.comhttps://images.apple.com/au/retail/store/galleries/brisbane/images/brisbane_gallery_7_large_2x.jpg
au,Broadway,1,https://www.apple.com/au/retail/broadway/images/hero_large_2x.jpg
au,Canberra,1,https://www.apple.com/au/retail/canberra/images/hero_large_2x.jpg
au,Carindale,1,https://www.apple.com/au/retail/carindale/images/hero_large_2x.jpg
au,Castle Towers,1,https://www.apple.com/au/retail/castletowers/images/hero_large_2x.jpg
au,Chadstone,1,https://www.apple.com/au/retail/chadstone/images/hero_large_2x.jpg
au,Charlestown,1,https://www.apple.com/au/retail/charlestown/images/hero_large_2x.jpg
au,Chatswood Chase,1,https://www.apple.com/au/retail/chatswoodchase/images/hero_large_2x.jpg
au,Chermside,1,https://www.apple.com/au/retail/chermside/images/hero_large_2x.jpg
au,Doncaster,1,https://www.apple.com/au/retail/doncaster/images/hero_large_2x.jpg
au,Fountain Gate,1,https://www.apple.com/au/retail/fountaingate/images/hero_large_2x.jpg
au,Highpoint,1,https://www.apple.com/au/retail/highpoint/images/hero_large_2x.jpg
au,Hornsby,1,https://www.apple.com/au/retail/hornsby/images/hero_large_2x.jpg
au,Miranda,1,https://www.apple.com/au/retail/miranda/images/hero_large_2x.jpg
au,Penrith,1,https://www.apple.com/au/retail/penrith/images/hero_large_2x.jpg
au,Perth City,1,https://www.apple.com/au/retail/perthcity/images/hero_large_2x.jpg
au,Robina,1,https://www.apple.com/au/retail/robina/images/hero_large_2x.jpg
au,Rundle Place,1,https://www.apple.com/au/retail/rundleplace/images/hero_large_2x.jpg
au,Southland,1,https://www.apple.com/au/retail/southland/images/hero_large_2x.jpg
au,Sydney,1,https://www.apple.com/au/retail/sydney/images/map_large_2x.jpg
be,Brussels,1,https://www.apple.com/befr/retail/brussels/images/hero_large_2x.jpg
be,Brussels,2,https://www.apple.comhttps://images.apple.com/befr/retail/store/images/galleries/brussels/images/brussels_gallery_image2_large_2x.jpg
