,Link,Region
The Summit,https://www.apple.com/retail/thesummit/,us
Bridge Street,https://www.apple.com/retail/bridgestreet/,us
Anchorage 5th Avenue Mall,https://www.apple.com/retail/anchorage5thavenuemall/,us
Chandler Fashion Center,https://www.apple.com/retail/chandlerfashioncenter/,us
SanTan Village,https://www.apple.com/retail/santanvillage/,us
Arrowhead,https://www.apple.com/retail/arrowhead/,us
Scottsdale Fashion Square,https://www.apple.com/retail/scottsdalefashionsquare/,us
Scottsdale Quarter,https://www.apple.com/retail/scottsdalequarter/,us
La Encantada,https://www.apple.com/retail/laencantada/,us
The Promenade at Chenal,https://www.apple.com/retail/thepromenadeatchenal/,us
Valley Plaza,https://www.apple.com/retail/valleyplaza/,us
4th Street,https://www.apple.com/retail/4thstreet/,us
Brea Mall,https://www.apple.com/retail/breamall/,us
Burlingame,https://www.apple.com/retail/burlingame/,us
Topanga,https://www.apple.com/retail/topanga/,us
Carlsbad,https://www.apple.com/retail/carlsbad/,us
Los Cerritos,https://www.apple.com/retail/loscerritos/,us
Otay Ranch,https://www.apple.com/retail/otayranch/,us
Corte Madera,https://www.apple.com/retail/cortemadera/,us
South Coast Plaza,https://www.apple.com/retail/southcoastplaza/,us
Apple Park Visitor Center,https://www.apple.com/retail/appleparkvisitorcenter/,us
Infinite Loop,https://www.apple.com/retail/infiniteloop/,us
Bay Street,https://www.apple.com/retail/baystreet/,us
North County,https://www.apple.com/retail/northcounty/,us
Fashion Fair,https://www.apple.com/retail/fashionfair/,us
Glendale Galleria,https://www.apple.com/retail/glendalegalleria/,us
The Americana at Brand,https://www.apple.com/retail/theamericanaatbrand/,us
Irvine Spectrum Center,https://www.apple.com/retail/irvinespectrumcenter/,us
Beverly Center,https://www.apple.com/retail/beverlycenter/,us
Century City,https://www.apple.com/retail/centurycity/,us
The Grove,https://www.apple.com/retail/thegrove/,us
Los Gatos,https://www.apple.com/retail/losgatos/,us
Manhattan Village,https://www.apple.com/retail/manhattanvillage/,us
Mission Viejo,https://www.apple.com/retail/missionviejo/,us
Vintage Faire,https://www.apple.com/retail/vintagefaire/,us
Del Monte,https://www.apple.com/retail/delmonte/,us
Fashion Island,https://www.apple.com/retail/fashionisland/,us
Northridge,https://www.apple.com/retail/northridge/,us
El Paseo Village,https://www.apple.com/retail/elpaseovillage/,us
Palo Alto,https://www.apple.com/retail/paloalto/,us
Stanford Shopping Center,https://www.apple.com/retail/stanfordshoppingcenter/,us
Pasadena,https://www.apple.com/retail/pasadena/,us
Stoneridge Mall,https://www.apple.com/retail/stoneridgemall/,us
Victoria Gardens,https://www.apple.com/retail/victoriagardens/,us
Roseville,https://www.apple.com/retail/roseville/,us
Arden Fair,https://www.apple.com/retail/ardenfair/,us
Fashion Valley,https://www.apple.com/retail/fashionvalley/,us
UTC,https://www.apple.com/retail/utc/,us
Chestnut Street,https://www.apple.com/retail/chestnutstreet/,us
Stonestown,https://www.apple.com/retail/stonestown/,us
Union Square,https://www.apple.com/retail/unionsquare/,us
Oakridge,https://www.apple.com/retail/oakridge/,us
Higuera Street,https://www.apple.com/retail/higuerastreet/,us
Hillsdale,https://www.apple.com/retail/hillsdale/,us
State Street,https://www.apple.com/retail/statestreet/,us
Valley Fair,https://www.apple.com/retail/valleyfair/,us
Third Street Promenade,https://www.apple.com/retail/thirdstreetpromenade/,us
Santa Rosa Plaza,https://www.apple.com/retail/santarosaplaza/,us
Sherman Oaks,https://www.apple.com/retail/shermanoaks/,us
Promenade Temecula,https://www.apple.com/retail/promenadetemecula/,us
The Oaks,https://www.apple.com/retail/theoaks/,us
Valencia Town Center,https://www.apple.com/retail/valenciatowncenter/,us
Broadway Plaza,https://www.apple.com/retail/broadwayplaza/,us
Twenty Ninth Street,https://www.apple.com/retail/twentyninthstreet/,us
FlatIron Crossing,https://www.apple.com/retail/flatironcrossing/,us
The Promenade Shops at Briargate,https://www.apple.com/retail/thepromenadeshopsatbriargate/,us
Cherry Creek,https://www.apple.com/retail/cherrycreek/,us
Aspen Grove,https://www.apple.com/retail/aspengrove/,us
Park Meadows,https://www.apple.com/retail/parkmeadows/,us
Danbury Fair Mall,https://www.apple.com/retail/danburyfairmall/,us
Westfarms,https://www.apple.com/retail/westfarms/,us
Greenwich Avenue,https://www.apple.com/retail/greenwichavenue/,us
New Haven,https://www.apple.com/retail/newhaven/,us
Evergreen Walk,https://www.apple.com/retail/evergreenwalk/,us
Stamford,https://www.apple.com/retail/stamford/,us
Trumbull,https://www.apple.com/retail/trumbull/,us
Christiana Mall,https://www.apple.com/retail/christianamall/,us
Carnegie Library,https://www.apple.com/retail/carnegielibrary/,us
Georgetown,https://www.apple.com/retail/georgetown/,us
Altamonte,https://www.apple.com/retail/altamonte/,us
Aventura,https://www.apple.com/retail/aventura/,us
Boca Raton,https://www.apple.com/retail/bocaraton/,us
Brandon,https://www.apple.com/retail/brandon/,us
Coconut Point,https://www.apple.com/retail/coconutpoint/,us
The Galleria,https://www.apple.com/retail/thegalleria/,us
St. Johns Town Center,https://www.apple.com/retail/stjohnstowncenter/,us
Lincoln Road,https://www.apple.com/retail/lincolnroad/,us
Brickell City Centre,https://www.apple.com/retail/brickellcitycentre/,us
Dadeland,https://www.apple.com/retail/dadeland/,us
The Falls,https://www.apple.com/retail/thefalls/,us
Waterside Shops,https://www.apple.com/retail/watersideshops/,us
Florida Mall,https://www.apple.com/retail/floridamall/,us
Millenia,https://www.apple.com/retail/millenia/,us
The Gardens Mall,https://www.apple.com/retail/thegardensmall/,us
University Town Center,https://www.apple.com/retail/universitytowncenter/,us
International Plaza,https://www.apple.com/retail/internationalplaza/,us
Wellington Green,https://www.apple.com/retail/wellingtongreen/,us
Avalon,https://www.apple.com/retail/avalon/,us
Cumberland Mall,https://www.apple.com/retail/cumberlandmall/,us
Lenox Square,https://www.apple.com/retail/lenoxsquare/,us
Perimeter,https://www.apple.com/retail/perimeter/,us
Augusta,https://www.apple.com/retail/augusta/,us
Mall of Georgia,https://www.apple.com/retail/mallofgeorgia/,us
Ala Moana,https://www.apple.com/retail/alamoana/,us
Kahala,https://www.apple.com/retail/kahala/,us
Royal Hawaiian,https://www.apple.com/retail/royalhawaiian/,us
Boise Towne Square,https://www.apple.com/retail/boisetownesquare/,us
Lincoln Park,https://www.apple.com/retail/lincolnpark/,us
Michigan Avenue,https://www.apple.com/retail/michiganavenue/,us
Deer Park,https://www.apple.com/retail/deerpark/,us
Main Place,https://www.apple.com/retail/mainplace/,us
Northbrook,https://www.apple.com/retail/northbrook/,us
Oakbrook,https://www.apple.com/retail/oakbrook/,us
Orland Square Mall,https://www.apple.com/retail/orlandsquaremall/,us
Woodfield,https://www.apple.com/retail/woodfield/,us
Old Orchard,https://www.apple.com/retail/oldorchard/,us
The Fashion Mall at Keystone,https://www.apple.com/retail/thefashionmallatkeystone/,us
University Park Mall,https://www.apple.com/retail/universityparkmall/,us
Jordan Creek,https://www.apple.com/retail/jordancreek/,us
Leawood,https://www.apple.com/retail/leawood/,us
Fayette Mall,https://www.apple.com/retail/fayettemall/,us
Oxmoor,https://www.apple.com/retail/oxmoor/,us
Mall of Louisiana,https://www.apple.com/retail/malloflouisiana/,us
Lakeside Shopping Center,https://www.apple.com/retail/lakesideshoppingcenter/,us
Maine Mall,https://www.apple.com/retail/mainemall/,us
Annapolis,https://www.apple.com/retail/annapolis/,us
Bethesda Row,https://www.apple.com/retail/bethesdarow/,us
Montgomery Mall,https://www.apple.com/retail/montgomerymall/,us
Columbia,https://www.apple.com/retail/columbia/,us
Towson Town Center,https://www.apple.com/retail/towsontowncenter/,us
Boylston Street,https://www.apple.com/retail/boylstonstreet/,us
South Shore,https://www.apple.com/retail/southshore/,us
Burlington,https://www.apple.com/retail/burlington/,us
CambridgeSide,https://www.apple.com/retail/cambridgeside/,us
Chestnut Hill,https://www.apple.com/retail/chestnuthill/,us
Legacy Place,https://www.apple.com/retail/legacyplace/,us
Derby Street,https://www.apple.com/retail/derbystreet/,us
Holyoke,https://www.apple.com/retail/holyoke/,us
MarketStreet,https://www.apple.com/retail/marketstreet/,us
Solomon Pond Mall,https://www.apple.com/retail/solomonpondmall/,us
Natick,https://www.apple.com/retail/natick/,us
Briarwood,https://www.apple.com/retail/briarwood/,us
Partridge Creek,https://www.apple.com/retail/partridgecreek/,us
Woodland,https://www.apple.com/retail/woodland/,us
Eastwood Towne Center,https://www.apple.com/retail/eastwoodtownecenter/,us
Twelve Oaks,https://www.apple.com/retail/twelveoaks/,us
Somerset,https://www.apple.com/retail/somerset/,us
Mall of America,https://www.apple.com/retail/mallofamerica/,us
Southdale,https://www.apple.com/retail/southdale/,us
Uptown,https://www.apple.com/retail/uptown/,us
Ridgedale,https://www.apple.com/retail/ridgedale/,us
Rosedale Center,https://www.apple.com/retail/rosedalecenter/,us
Renaissance at Colony Park,https://www.apple.com/retail/renaissanceatcolonypark/,us
Country Club Plaza,https://www.apple.com/retail/countryclubplaza/,us
Saint Louis Galleria,https://www.apple.com/retail/saintlouisgalleria/,us
West County,https://www.apple.com/retail/westcounty/,us
Village Pointe,https://www.apple.com/retail/villagepointe/,us
Fashion Show,https://www.apple.com/retail/fashionshow/,us
Summerlin,https://www.apple.com/retail/summerlin/,us
The Forum Shops,https://www.apple.com/retail/theforumshops/,us
Town Square,https://www.apple.com/retail/townsquare/,us
Summit Sierra,https://www.apple.com/retail/summitsierra/,us
The Mall of New Hampshire,https://www.apple.com/retail/themallofnewhampshire/,us
Pheasant Lane,https://www.apple.com/retail/pheasantlane/,us
Rockingham Park,https://www.apple.com/retail/rockinghampark/,us
Bridgewater,https://www.apple.com/retail/bridgewater/,us
Cherry Hill,https://www.apple.com/retail/cherryhill/,us
Menlo Park,https://www.apple.com/retail/menlopark/,us
Freehold Raceway Mall,https://www.apple.com/retail/freeholdracewaymall/,us
Quaker Bridge,https://www.apple.com/retail/quakerbridge/,us
Sagemore,https://www.apple.com/retail/sagemore/,us
Garden State Plaza,https://www.apple.com/retail/gardenstateplaza/,us
Rockaway,https://www.apple.com/retail/rockaway/,us
Short Hills,https://www.apple.com/retail/shorthills/,us
Willowbrook,https://www.apple.com/retail/willowbrook/,us
Tice’s Corner,https://www.apple.com/retail/ticescorner/,us
ABQ Uptown,https://www.apple.com/retail/abquptown/,us
Crossgates,https://www.apple.com/retail/crossgates/,us
Downtown Brooklyn,https://www.apple.com/retail/downtownbrooklyn/,us
Williamsburg,https://www.apple.com/retail/williamsburg/,us
Walden Galleria,https://www.apple.com/retail/waldengalleria/,us
Queens Center,https://www.apple.com/retail/queenscenter/,us
Roosevelt Field,https://www.apple.com/retail/rooseveltfield/,us
Walt Whitman,https://www.apple.com/retail/waltwhitman/,us
Smith Haven,https://www.apple.com/retail/smithhaven/,us
Manhasset,https://www.apple.com/retail/manhasset/,us
Nanuet,https://www.apple.com/retail/nanuet/,us
Fifth Avenue,https://www.apple.com/retail/fifthavenue/,us
Grand Central,https://www.apple.com/retail/grandcentral/,us
SoHo,https://www.apple.com/retail/soho/,us
